Title	URL	Labels	Status
Updated billing overview page 	https://github.com/github/roadmap/issues/217	all, billing, ga	Future
Create custom automation flows	https://github.com/github/roadmap/issues/281	all, cloud, preview, projects	Future
Issue level custom metadata 	https://github.com/github/roadmap/issues/277	all, cloud, issues, preview	Future
Cross repository milestones and labels	https://github.com/github/roadmap/issues/276	all, cloud, preview, repositories	Future
Ability to add a project to a project 	https://github.com/github/roadmap/issues/274	all, cloud, preview, projects	Future
Azure AD (AAD) Service Principal Support for GHEC EMUs (Preview)	https://github.com/github/roadmap/issues/360	cloud, github enterprise, identity, preview	Future
Command Palette	https://github.com/github/roadmap/issues/355	all, cloud, ga, other, server	Future
Commenting on unchanged lines in a pull request	https://github.com/github/roadmap/issues/347	all, cloud, exploring, ga, pull requests, server	Future
Precise code navigation for JavaScript and TypeScript	https://github.com/github/roadmap/issues/371	all, cloud, ga, search	Future
Secret scanning: Extend coverage to Actions logs	https://github.com/github/roadmap/issues/449	cloud, github advanced security, preview, secret scanning, server	Future
Precise code navigation for Java	https://github.com/github/roadmap/issues/474	all, cloud, ga, search	Future
Dependabot alerts shows transitive dependency paths	https://github.com/github/roadmap/issues/494	all, cloud, dependabot, ga	Future
Reply to PR-level comments	https://github.com/github/roadmap/issues/552	all, ga, pull requests, server	Future
Codespaces: Pull Request Validation for prebuild-enabled repositories 	https://github.com/github/roadmap/issues/537	cloud, codespaces, ga, github enterprise, github team	Future
Codespaces: Private networking with Azure VNETs (Preview)	https://github.com/github/roadmap/issues/534	cloud, codespaces, github enterprise, preview	Future
Open ID Connect (OIDC) for GHEC Audit Log Streaming to Azure Blob Storage	https://github.com/github/roadmap/issues/581	audit logs, github enterprise, preview	Future
Packages: maven - granular permissions and easy organization sharing	https://github.com/github/roadmap/issues/578	cloud, ga, github enterprise, packages	Future
Packages: Granular permissions and easy organization sharing for enterprise customers	https://github.com/github/roadmap/issues/560	ga, github enterprise, packages, server	Future
Packages support for fine-grained PATs	https://github.com/github/roadmap/issues/558	all, ga, packages, personal access tokens (PATs)	Future
GitHub Actions:  Immutable actions publishing	https://github.com/github/roadmap/issues/592	actions, all, preview	Q1 2025 – Jan-Mar
Fine-grained and classic PAT expiry policies for organizations and enterprises	https://github.com/github/roadmap/issues/599	github enterprise, identity, personal access tokens (PATs), preview	Future
Fine-grained PAT support for open source and personally-owned repos	https://github.com/github/roadmap/issues/600	all, identity, personal access tokens (PATs), preview	Future
Outside collaborator support for organization-owned repositories for fine-grained PATs	https://github.com/github/roadmap/issues/601	all, identity, personal access tokens (PATs), preview	Future
GitHub Security Advisory private forks support Actions	https://github.com/github/roadmap/issues/627	all, cloud, preview	Future
GitHub Actions secrets improvements for Reusable workflows	https://github.com/github/roadmap/issues/636	actions, all, preview	Future
GitHub Actions: Secure Shell Debugging (Preview)	https://github.com/github/roadmap/issues/637	actions, github enterprise, preview	Future
GHES  Cluster High Availability	https://github.com/github/roadmap/issues/756	github enterprise, in design	Future
Enterprise access for GitHub apps	https://github.com/github/roadmap/issues/753	all, enterprise administration, ga, identity	Future
Projects: Updated Projects header	https://github.com/github/roadmap/issues/761	all, cloud, ga, projects	Future
GitHub Actions Starter workflow improvements	https://github.com/github/roadmap/issues/772	actions, all, preview	Future
GitHub Actions configuration variables - GA	https://github.com/github/roadmap/issues/773	actions, all, ga	Future
Automatic security check information on each Actions listing	https://github.com/github/roadmap/issues/774	actions, all, exploring, preview	Future
Code security transaction report in PDF	https://github.com/github/roadmap/issues/781	cloud, code scanning, dependabot, github advanced security, preview, secret scanning, security overview, server	Q3 2024 – Jul-Sep
Export security coverage and security risk data in security overview to CSV	https://github.com/github/roadmap/issues/782	cloud, code scanning, dependabot, ga, GHES 3.15, github advanced security, secret scanning, security overview, server, shipped	
Fine-grained PAT support for inner-source repositories	https://github.com/github/roadmap/issues/790	github enterprise, identity, personal access tokens (PATs), preview	Future
Security manager improvements and custom organization security roles (Preview)	https://github.com/github/roadmap/issues/791	cloud, code scanning, dependabot, github advanced security, preview, secret scanning, security overview, server	Q2 2024 – Apr-Jun
